기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
미,"E,미",XIN YU JIN XIANG,연안부두정계지,NIPT6,PAL,연안부두정계지,2024-06-21T11:09:36.000Z,2024-06-21T11:41:36.000Z,18.5,94.0,3.7,27.0,KB,12304,국제카페리,2024-06-21T11:30:00.000Z,2024-06-21T00:40:00.000Z,PAL,NIPT6,OV,UM,뉴월미호_XIN YU JIN XIANG_2024-06-21_target_198_aisData.csv,뉴월미호_XIN YU JIN XIANG_2024-06-21_tug_198_aisData.csv
I,"성,I",REVERENCE,,NPPS,SNCT3,,2024-06-21T13:05:36.000Z,2024-06-21T13:18:36.000Z,1.1,57.0,0.3,8.0,RW,9990,풀컨테이너선,2024-06-21T12:00:00.000Z,2024-06-21T12:00:00.000Z,NPPS,SNCT3,성I,,쥬피터1호_REVERENCE_2024-06-21_target_199_aisData.csv,쥬피터1호_REVERENCE_2024-06-21_tug_199_aisData.csv
진,"O,진",JINHUA 11,,PAL,41,,2024-06-21T14:06:37.000Z,2024-06-21T14:35:37.000Z,1.6,14.0,3.2,24.0,KB,1753,일반화물선,2024-06-21T12:30:00.000Z,2024-06-21T10:00:00.000Z,PAL,41,O진,,뉴약진호_JINHUA 11_2024-06-21_target_200_aisData.csv,뉴약진호_JINHUA 11_2024-06-21_tug_200_aisData.csv
N,"A,N",ARAFURA LILY,,PAL,NIPT6,,2024-06-21T15:17:37.000Z,2024-06-21T15:27:37.000Z,0.5,2.0,1.5,5.0,JH,12335,국제카페리,2024-06-21T14:15:00.000Z,2024-06-21T14:00:00.000Z,PAL,NIPT6,RN,,뉴엔젤호_ARAFURA LILY_2024-06-21_target_201_aisData.csv,뉴엔젤호_ARAFURA LILY_2024-06-21_tug_201_aisData.csv
T,"G,T",ARDMORE EXPLORER,연안부두정계지,SKI 3,W10,연안부두정계지,2024-06-21T17:37:37.000Z,2024-06-21T18:30:37.000Z,10.6,53.0,1.6,48.0,GH,29993,케미칼 운반선,2024-06-21T18:00:00.000Z,2024-06-21T18:00:00.000Z,SKI 3,W10,GT,,대창호_ARDMORE EXPLORER_2024-06-21_target_202_aisData.csv,대창호_ARDMORE EXPLORER_2024-06-21_tug_202_aisData.csv
I,I,A ROKKO,,HJIT2,NPPS,,2024-06-21T18:43:36.000Z,2024-06-21T19:02:36.000Z,5.5,441.0,0.0,14.0,KK,9562,풀컨테이너선,2024-06-21T19:00:00.000Z,2024-06-21T12:00:00.000Z,NPPS,HJIT2,KL,,쥬피터1호_A ROKKO_2024-06-21_target_203_aisData.csv,쥬피터1호_A ROKKO_2024-06-21_tug_203_aisData.csv
미,"W,미",OCEAN GAS,연안부두정계지,PAL,SKI 1,,2024-06-21T20:33:36.000Z,2024-06-21T21:23:36.000Z,3.8,21.0,4.3,45.0,,3678,LPG 운반선,2024-06-21T20:00:00.000Z,2024-06-21T20:30:00.000Z,PAL,SKI 1,W미,,뉴월미호_OCEAN GAS_2024-06-21_target_204_aisData.csv,뉴월미호_OCEAN GAS_2024-06-21_tug_204_aisData.csv
I,I,STARSHIP AQUILA,,SNCT2,NPPS,,2024-06-21T22:29:36.000Z,2024-06-21T22:47:36.000Z,1.6,254.0,0.0,13.0,,18064,풀컨테이너선,2024-06-21T22:30:00.000Z,2024-06-21T06:00:00.000Z,NPPS,SNCT2,L,,쥬피터1호_STARSHIP AQUILA_2024-06-21_target_205_aisData.csv,쥬피터1호_STARSHIP AQUILA_2024-06-21_tug_205_aisData.csv
T,"T,O",ARAFURA LILY,연안부두정계지,NIPT6,PAL,연안부두정계지,2024-06-21T22:33:37.000Z,2024-06-21T23:07:37.000Z,6.7,28.0,2.8,29.0,UM,12335,국제카페리,2024-06-21T23:00:00.000Z,2024-06-21T14:00:00.000Z,PAL,NIPT6,RN,,대창호_ARAFURA LILY_2024-06-21_target_206_aisData.csv,대창호_ARAFURA LILY_2024-06-21_tug_206_aisData.csv
I,"K,I",KMTC HAIPHONG,,NPPS,SNCT2,,2024-06-21T23:24:36.000Z,2024-06-21T23:46:37.000Z,8.9,507.0,0.8,17.0,SC,18370,풀컨테이너선,2024-06-21T23:00:00.000Z,2024-06-21T22:00:00.000Z,NPPS,SNCT2,LI,,쥬피터1호_KMTC HAIPHONG_2024-06-21_target_207_aisData.csv,쥬피터1호_KMTC HAIPHONG_2024-06-21_tug_207_aisData.csv
M,"M,R",MORNING STAR,,PAL,RHC,연안부두정계지,2024-06-22T04:13:37.000Z,2024-06-22T05:01:37.000Z,5.8,31.0,5.2,43.0,,6117,시멘트운반선,2024-06-22T04:00:00.000Z,2024-06-22T04:00:00.000Z,PAL,RHC,MR,,뉴마스호_MORNING STAR_2024-06-22_target_208_aisData.csv,뉴마스호_MORNING STAR_2024-06-22_tug_208_aisData.csv
