기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
미,"S,미",VICTORY STAR,연안부두정계지,PAL,E1CT,연안부두정계지,2024-06-17T23:27:33.000Z,2024-06-18T00:03:33.000Z,6.9,28.0,3.1,31.0,UM,7406,풀컨테이너선,2024-06-17T23:00:00.000Z,2024-06-17T23:00:00.000Z,PAL,E1CT,SN,,뉴월미호_VICTORY STAR_2024-06-17_target_137_aisData.csv,뉴월미호_VICTORY STAR_2024-06-17_tug_137_aisData.csv
T,"T,E",XIN YU JIN XIANG,,NIPT6,PAL,연안부두정계지,2024-06-18T00:22:34.000Z,2024-06-18T01:05:34.000Z,14.6,90.0,2.0,38.0,KI,12304,국제카페리,2024-06-18T00:50:00.000Z,2024-06-18T00:50:00.000Z,NIPT6,PAL,TE,KI,대창호_XIN YU JIN XIANG_2024-06-18_target_138_aisData.csv,대창호_XIN YU JIN XIANG_2024-06-18_tug_138_aisData.csv
N,"N,R",WOOLIM DRAGON,연안부두정계지,SOD1,E4,,2024-06-18T04:05:35.000Z,2024-06-18T04:15:35.000Z,0.2,2.0,1.1,26.0,JU,5197,석유제품 운반선,2024-06-18T04:00:00.000Z,2024-06-18T04:00:00.000Z,SOD1,E4,NR,JU,뉴엔젤호_WOOLIM DRAGON_2024-06-18_target_139_aisData.csv,뉴엔젤호_WOOLIM DRAGON_2024-06-18_tug_139_aisData.csv
N,"N,Q",SJ HOPE,연안부두정계지,KAL,PAL,,2024-06-18T06:06:35.000Z,2024-06-18T06:16:35.000Z,5.4,19.0,1.9,22.0,CH,5025,석유제품 운반선,2024-06-18T06:00:00.000Z,2024-06-18T06:00:00.000Z,KAL,PAL,NQ,CH,뉴엔젤호_SJ HOPE_2024-06-18_target_140_aisData.csv,뉴엔젤호_SJ HOPE_2024-06-18_tug_140_aisData.csv
T,"T,S",ARAFURA LILY,연안부두정계지,PAL,NIPT6,연안부두정계지,2024-06-18T07:07:35.000Z,2024-06-18T07:29:34.000Z,8.3,47.0,1.4,17.0,US,12335,국제카페리,2024-06-18T06:30:00.000Z,2024-06-18T06:30:00.000Z,PAL,NIPT6,TS,US,대창호_ARAFURA LILY_2024-06-18_target_141_aisData.csv,대창호_ARAFURA LILY_2024-06-18_tug_141_aisData.csv
I,"I,K",BEI HAI,송도정계지,NPPS,HJIT2,송도정계지,2024-06-18T07:32:34.000Z,2024-06-18T08:19:34.000Z,0.0,9.0,4.2,42.0,JH,5272,세미(혼재)컨테이너선,2024-06-18T07:00:00.000Z,2024-06-18T07:00:00.000Z,NPPS,HJIT2,IK,JH,쥬피터1호_BEI HAI_2024-06-18_target_142_aisData.csv,쥬피터1호_BEI HAI_2024-06-18_tug_142_aisData.csv
N,"N,W",FC DELLA,,PAL,N-HOB,연안부두정계지,2024-06-18T06:37:35.000Z,2024-06-18T07:16:35.000Z,6.4,59.0,3.1,34.0,,4956,케미칼 운반선,2024-06-18T05:30:00.000Z,2024-06-18T07:00:00.000Z,PAL,N-HOB,NW,,뉴엔젤호_FC DELLA_2024-06-18_target_143_aisData.csv,뉴엔젤호_FC DELLA_2024-06-18_tug_143_aisData.csv
명,"비,명,해",HOANH SON PLANET,,72,DONG,내항정계지,2024-06-18T10:56:34.000Z,2024-06-18T11:13:34.000Z,2.3,23.0,1.0,12.0,US,39964,산물선(벌크선),2024-06-18T10:30:00.000Z,2024-06-18T10:30:00.000Z,72,DONG,비명해,,대명호_HOANH SON PLANET_2024-06-18_target_144_aisData.csv,대명호_HOANH SON PLANET_2024-06-18_tug_144_aisData.csv
M,"D,M,A,비,명",EMMA OLDENDORFF,연안부두정계지,PAL,72,연안부두정계지,2024-06-18T12:31:34.000Z,2024-06-19T00:05:34.000Z,4.0,55.0,5.8,49.0,KK,25431,산물선(벌크선),2024-06-18T11:00:00.000Z,2024-06-18T11:00:00.000Z,PAL,72,DMA비명,,뉴마스호_EMMA OLDENDORFF_2024-06-18_target_145_aisData.csv,뉴마스호_EMMA OLDENDORFF_2024-06-18_tug_145_aisData.csv
N,N,SKOON A,연안부두정계지,N16,PAL,북항임시정계지,2024-06-18T13:15:35.000Z,2024-06-18T13:38:35.000Z,5.5,17.0,1.1,18.0,NS,2972,일반화물선,2024-06-18T13:30:00.000Z,2024-06-18T14:00:00.000Z,N16,PAL,N,,뉴엔젤호_SKOON A_2024-06-18_target_146_aisData.csv,뉴엔젤호_SKOON A_2024-06-18_tug_146_aisData.csv
진,"해,진",MASAKAZU,내항정계지,34,PAL,내항정계지,2024-06-18T13:40:35.000Z,2024-06-18T14:29:35.000Z,1.6,8.0,3.6,44.0,BC,5543,일반화물선,2024-06-18T14:00:00.000Z,2024-06-18T15:00:00.000Z,34,PAL,윤진,,뉴약진호_MASAKAZU_2024-06-18_target_147_aisData.csv,뉴약진호_MASAKAZU_2024-06-18_tug_147_aisData.csv
미,"미,S",NEWZENBERG,연안부두정계지,N45,PAL,연안부두정계지,2024-06-18T16:58:34.000Z,2024-06-18T17:23:34.000Z,14.1,51.0,2.4,20.0,KI,4801,일반화물선,2024-06-18T17:00:00.000Z,2024-06-18T18:00:00.000Z,N45,PAL,미S,,뉴월미호_NEWZENBERG_2024-06-18_target_148_aisData.csv,뉴월미호_NEWZENBERG_2024-06-18_tug_148_aisData.csv
N,"N,O",FC DELLA,북항임시정계지,N-HOB,PAL,,2024-06-18T17:13:35.000Z,2024-06-18T17:23:35.000Z,1.9,21.0,1.3,24.0,,4956,케미칼 운반선,2024-06-18T17:00:00.000Z,2024-06-18T07:00:00.000Z,PAL,N-HOB,NW,,뉴엔젤호_FC DELLA_2024-06-18_target_149_aisData.csv,뉴엔젤호_FC DELLA_2024-06-18_tug_149_aisData.csv
N,"W,N",WOOLIM 7,,PAL,SKI 4,북항임시정계지,2024-06-18T18:03:35.000Z,2024-06-18T18:49:35.000Z,3.5,27.0,4.9,41.0,,8072,석유제품 운반선,2024-06-18T17:30:00.000Z,2024-06-18T17:30:00.000Z,PAL,SKI 4,SN,,뉴엔젤호_WOOLIM 7_2024-06-18_target_150_aisData.csv,뉴엔젤호_WOOLIM 7_2024-06-18_tug_150_aisData.csv
N,"N,O",DL AMBER,북항임시정계지,PAL,SKI 2,연안부두정계지,2024-06-18T20:45:35.000Z,2024-06-18T21:38:35.000Z,7.3,66.0,3.7,48.0,OS,7333,석유제품 운반선,2024-06-18T20:00:00.000Z,2024-06-18T17:30:00.000Z,PAL,SKI 2,NO,,뉴엔젤호_DL AMBER_2024-06-18_target_151_aisData.csv,뉴엔젤호_DL AMBER_2024-06-18_tug_151_aisData.csv
미,미,HIROAN,연안부두정계지,PAL,N22,연안부두정계지,2024-06-18T23:52:34.000Z,2024-06-19T00:26:34.000Z,11.0,41.0,5.0,29.0,RW,1528,산물선(벌크선),2024-06-18T23:00:00.000Z,2024-06-18T23:00:00.000Z,PAL,N22,미,,뉴월미호_HIROAN_2024-06-18_target_152_aisData.csv,뉴월미호_HIROAN_2024-06-18_tug_152_aisData.csv
I,"L,I",BEI HAI,송도정계지,HJIT2,NPPS,,2024-06-18T21:29:35.000Z,2024-06-18T21:39:35.000Z,0.0,206.0,0.0,5.0,SC,5272,세미(혼재)컨테이너선,2024-06-18T21:30:00.000Z,2024-06-18T07:00:00.000Z,NPPS,HJIT2,IK,JH,쥬피터1호_BEI HAI_2024-06-18_target_153_aisData.csv,쥬피터1호_BEI HAI_2024-06-18_tug_153_aisData.csv
I,"L,I",MONICA,송도정계지,NPPS,SNCT2,송도정계지,2024-06-19T02:34:35.000Z,2024-06-19T03:12:35.000Z,7.6,31.0,3.6,33.0,HY,17801,풀컨테이너선,2024-06-19T02:00:00.000Z,2024-06-19T02:00:00.000Z,NPPS,SNCT2,LI,HY,쥬피터1호_MONICA_2024-06-19_target_154_aisData.csv,쥬피터1호_MONICA_2024-06-19_tug_154_aisData.csv
T,"E,T",CHANG YAHNG,,PAL,SSC,연안부두정계지,2024-06-19T12:48:35.000Z,2024-06-19T13:00:36.000Z,0.0,39.0,0.0,7.0,,5996,시멘트운반선,2024-06-19T12:30:00.000Z,2024-06-19T12:30:00.000Z,PAL,SSC,ET,,대창호_CHANG YAHNG_2024-06-19_target_155_aisData.csv,대창호_CHANG YAHNG_2024-06-19_tug_155_aisData.csv
미,"S,미",FC GRACE,,PAL,N-HOB,,2024-06-19T06:25:34.000Z,2024-06-19T07:02:34.000Z,0.5,6.0,2.5,32.0,,4960,"Tanker, No additional information",2024-06-19T06:00:00.000Z,2024-06-19T07:00:00.000Z,PAL,N-HOB,S미,,뉴월미호_FC GRACE_2024-06-19_target_156_aisData.csv,뉴월미호_FC GRACE_2024-06-19_tug_156_aisData.csv
N,"E,N",WOOLIM 7,,SKI 4,PAL,,2024-06-19T09:15:36.000Z,2024-06-19T09:25:36.000Z,0.0,0.0,1.6,19.0,NS,8072,석유제품 운반선,2024-06-19T09:00:00.000Z,2024-06-19T09:00:00.000Z,SKI 4,PAL,EN,,뉴엔젤호_WOOLIM 7_2024-06-19_target_157_aisData.csv,뉴엔젤호_WOOLIM 7_2024-06-19_tug_157_aisData.csv
N,"N,R",DL AMBER,연안부두정계지,SKI 2,PAL,,2024-06-19T08:48:36.000Z,2024-06-19T08:59:35.000Z,6.5,23.0,0.6,6.0,CH,7333,석유제품 운반선,2024-06-19T10:30:00.000Z,2024-06-19T10:30:00.000Z,SKI 2,PAL,NR,,뉴엔젤호_DL AMBER_2024-06-19_target_158_aisData.csv,뉴엔젤호_DL AMBER_2024-06-19_tug_158_aisData.csv
미,미,FC GRACE,,N-HOB,PAL,,2024-06-19T17:28:35.000Z,2024-06-19T18:00:35.000Z,0.0,0.0,6.7,27.0,,4960,"Tanker, No additional information",2024-06-19T19:00:00.000Z,2024-06-19T07:00:00.000Z,PAL,N-HOB,S미,,뉴월미호_FC GRACE_2024-06-19_target_159_aisData.csv,뉴월미호_FC GRACE_2024-06-19_tug_159_aisData.csv
I,"I,C,L",HALLASAN EXPLORER,송도정계지,JANG,E1GT,,2024-06-19T14:45:35.000Z,2024-06-19T16:21:35.000Z,4.7,32.0,1.4,24.0,JJ,48735,LPG 운반선,2024-06-19T13:00:00.000Z,2024-06-19T13:00:00.000Z,JANG,E1GT,ICL,,쥬피터1호_HALLASAN EXPLORER_2024-06-19_target_160_aisData.csv,쥬피터1호_HALLASAN EXPLORER_2024-06-19_tug_160_aisData.csv
M,"M,명",PETREL PACIFIC,연안부두정계지,SKI 1,DONG,연안부두정계지,2024-06-19T11:21:35.000Z,2024-06-19T12:05:35.000Z,10.4,33.0,2.8,39.0,UM,29403,원유운반선,2024-06-19T11:30:00.000Z,2024-06-19T11:30:00.000Z,SKI 1,DONG,M명,,뉴마스호_PETREL PACIFIC_2024-06-19_target_161_aisData.csv,뉴마스호_PETREL PACIFIC_2024-06-19_tug_161_aisData.csv
진,진,BR FAIRY,내항정계지,30,PAL,,2024-06-19T11:51:36.000Z,2024-06-19T12:25:36.000Z,1.8,21.0,2.5,29.0,SC,2509,일반화물선,2024-06-19T12:00:00.000Z,2024-06-19T12:00:00.000Z,30,PAL,진,,뉴약진호_BR FAIRY_2024-06-19_target_162_aisData.csv,뉴약진호_BR FAIRY_2024-06-19_tug_162_aisData.csv
미,"미,R",EXPRESS STAR,,N21,PAL,,2024-06-19T12:41:35.000Z,2024-06-19T13:00:35.000Z,0.0,0.0,2.4,14.0,CH,5138,일반화물선,2024-06-19T13:00:00.000Z,2024-06-19T13:00:00.000Z,N21,PAL,미R,,뉴월미호_EXPRESS STAR_2024-06-19_target_163_aisData.csv,뉴월미호_EXPRESS STAR_2024-06-19_tug_163_aisData.csv
T,"V,T",EVER CHASTE,연안부두정계지,PAL,ICT1,,2024-06-19T11:00:35.000Z,2024-06-19T11:30:35.000Z,5.9,39.0,2.5,25.0,NS,17943,풀컨테이너선,2024-06-19T10:30:00.000Z,2024-06-19T11:00:00.000Z,PAL,ICT1,VT,,대창호_EVER CHASTE_2024-06-19_target_164_aisData.csv,대창호_EVER CHASTE_2024-06-19_tug_164_aisData.csv
진,"윤,진",VW FORTUNE,내항정계지,50,PAL,내항정계지,2024-06-19T16:38:36.000Z,2024-06-19T17:11:36.000Z,1.0,5.0,0.9,28.0,RW,6566,산물선(벌크선),2024-06-19T17:00:00.000Z,2024-06-19T17:00:00.000Z,50,PAL,윤진,,뉴약진호_VW FORTUNE_2024-06-19_target_165_aisData.csv,뉴약진호_VW FORTUNE_2024-06-19_tug_165_aisData.csv
I,"K,I",MONICA,,SNCT2,NPPS,,2024-06-19T16:17:35.000Z,2024-06-19T17:18:35.000Z,0.0,0.0,2.8,56.0,SC,17801,풀컨테이너선,2024-06-19T17:00:00.000Z,2024-06-19T02:00:00.000Z,NPPS,SNCT2,LI,HY,쥬피터1호_MONICA_2024-06-19_target_166_aisData.csv,쥬피터1호_MONICA_2024-06-19_tug_166_aisData.csv
명,"비,명",WOOYANG CLES,,22,24,내항정계지,2024-06-19T17:09:35.000Z,2024-06-19T17:47:35.000Z,1.9,10.0,1.5,33.0,US,26303,산물선(벌크선),2024-06-19T17:30:00.000Z,2024-06-19T17:30:00.000Z,22,24,비명,,대명호_WOOYANG CLES_2024-06-19_target_167_aisData.csv,대명호_WOOYANG CLES_2024-06-19_tug_167_aisData.csv
I,I,A ROKKO,,HJIT2,NPPS,,2024-06-19T17:54:35.000Z,2024-06-19T18:08:35.000Z,0.0,0.0,0.0,9.0,LY,9562,풀컨테이너선,2024-06-19T18:00:00.000Z,2024-06-19T12:00:00.000Z,NPPS,HJIT2,K성,,쥬피터1호_A ROKKO_2024-06-19_target_168_aisData.csv,쥬피터1호_A ROKKO_2024-06-19_tug_168_aisData.csv
동,"동,진",KWANGYANG FRONTIER,,60,PAL,내항정계지,2024-06-19T18:34:36.000Z,2024-06-20T00:05:36.000Z,1.2,10.0,2.3,52.0,SC,4388,"Cargo, all ships of this type",2024-06-19T19:00:00.000Z,2024-06-19T19:00:00.000Z,60,PAL,동진,,동보1호_KWANGYANG FRONTIER_2024-06-19_target_169_aisData.csv,동보1호_KWANGYANG FRONTIER_2024-06-19_tug_169_aisData.csv
I,"L,I",KMTC LAEM CHABANG,,NPPS,HJIT3,,2024-06-19T17:18:35.000Z,2024-06-19T17:58:35.000Z,1.0,10.0,0.9,35.0,LY,18318,풀컨테이너선,2024-06-19T16:20:00.000Z,2024-06-19T17:00:00.000Z,NPPS,HJIT3,LI,,쥬피터1호_KMTC LAEM CHABANG_2024-06-19_target_170_aisData.csv,쥬피터1호_KMTC LAEM CHABANG_2024-06-19_tug_170_aisData.csv
동,"해,동,윤",SPRING BREEZE,내항정계지,42,DONG,내항정계지,2024-06-20T01:10:36.000Z,2024-06-20T01:39:36.000Z,4.3,32.0,0.8,24.0,UM,21699,산물선(벌크선),2024-06-20T01:30:00.000Z,2024-06-20T01:30:00.000Z,42,DONG,해동윤,UM,동보1호_SPRING BREEZE_2024-06-20_target_171_aisData.csv,동보1호_SPRING BREEZE_2024-06-20_tug_171_aisData.csv
N,"S,N",FC DELLA,연안부두정계지,PAL,SOD1,연안부두정계지,2024-06-20T02:18:36.000Z,2024-06-20T03:00:36.000Z,9.5,673.0,2.4,37.0,,4956,케미칼 운반선,2024-06-20T02:00:00.000Z,2024-06-20T02:00:00.000Z,PAL,SOD1,SN,,뉴엔젤호_FC DELLA_2024-06-20_target_172_aisData.csv,뉴엔젤호_FC DELLA_2024-06-20_tug_172_aisData.csv
동,"해,동,윤",EMMA OLDENDORFF,내항정계지,72,PAL,내항정계지,2024-06-20T03:04:36.000Z,2024-06-20T04:06:36.000Z,0.6,6.0,3.5,57.0,CG,25431,산물선(벌크선),2024-06-20T03:30:00.000Z,2024-06-20T03:30:00.000Z,72,PAL,해동윤,CG,동보1호_EMMA OLDENDORFF_2024-06-20_target_173_aisData.csv,동보1호_EMMA OLDENDORFF_2024-06-20_tug_173_aisData.csv
동,"M,해,동,진",CHANG SHIN,내항정계지,PAL,36,내항정계지,2024-06-20T06:06:36.000Z,2024-06-20T06:16:36.000Z,2.6,28.0,2.2,31.0,JU,9223,자동차운반선,2024-06-20T04:00:00.000Z,2024-06-20T04:00:00.000Z,PAL,36,M해동진,JU,동보1호_CHANG SHIN_2024-06-20_target_174_aisData.csv,동보1호_CHANG SHIN_2024-06-20_tug_174_aisData.csv
M,M,CHANG YAHNG,연안부두정계지,SSC,PAL,연안부두정계지,2024-06-20T16:53:36.000Z,2024-06-20T17:24:36.000Z,5.7,22.0,4.5,26.0,,5996,시멘트운반선,2024-06-20T18:00:00.000Z,2024-06-20T18:00:00.000Z,SSC,PAL,M,,뉴마스호_CHANG YAHNG_2024-06-20_target_175_aisData.csv,뉴마스호_CHANG YAHNG_2024-06-20_tug_175_aisData.csv
T,T,BIRYONG,연안부두정계지,PAL,NIPT2,연안부두정계지,2024-06-20T09:52:36.000Z,2024-06-20T10:25:36.000Z,6.8,31.0,3.1,28.0,KK,14614,국제카페리,2024-06-20T09:30:00.000Z,2024-06-20T09:30:00.000Z,PAL,NIPT2,T,JJ,대창호_BIRYONG_2024-06-20_target_176_aisData.csv,대창호_BIRYONG_2024-06-20_tug_176_aisData.csv
I,I,KMTC LAEM CHABANG,,HJIT3,NPPS,,2024-06-20T09:20:36.000Z,2024-06-20T12:20:36.000Z,0.0,2.0,0.7,175.0,RW,18318,풀컨테이너선,2024-06-20T12:00:00.000Z,2024-06-20T12:00:00.000Z,HJIT3,NPPS,I,,쥬피터1호_KMTC LAEM CHABANG_2024-06-20_target_177_aisData.csv,쥬피터1호_KMTC LAEM CHABANG_2024-06-20_tug_177_aisData.csv
