배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
"F2,C",WOOYANG FRIEND,YHD1,DONG,2024-06-29T07:30:00.000Z,GH,43158
H,DONGJIN CONTINENTAL,NPPS,HJIT3,2024-06-29T07:00:00.000Z,,9946
"Z,G,V,명,비",PEGASUS ACE,PAL,60,2024-06-29T06:00:00.000Z,HY,36893
"A,G,M,명,비",DARYA MAHI,PAL,21,2024-06-29T04:00:00.000Z,CN,24755
"Q,S",SC SHANGHAI,JANG,SKI 2,2024-06-29T18:00:00.000Z,KU,8562
"W,O",BAL STAR,PAL,E1CT,2024-06-30T12:00:00.000Z,,7409
"K,L",REVERENCE,NPPS,SNCT1,2024-06-30T20:00:00.000Z,,9990
W,동방루비,N11,PAL,2024-06-30T11:00:00.000Z,,2879
"미,S",SHIN LINE 11,N45,PAL,2024-06-30T19:30:00.000Z,,9799
"명,비,R",PEGASUS ACE,51,DONG,2024-06-30T17:30:00.000Z,,36893
E,PEGASUS GLORY,E1CT,PAL,2024-06-30T10:00:00.000Z,,9908
"O,진",RICH ANNA,PAL,43,2024-06-30T14:00:00.000Z,,2188
"I,K",YA LU JIANG,NPPS,SNCT3,2024-06-30T08:00:00.000Z,,5250
"F1,L",SITC QIUMING,NPPS,HJIT3,2024-06-30T06:00:00.000Z,,29232
"J,H,A,명,비",TIRRANNA,PAL,53,2024-06-30T01:30:00.000Z,,71673
"F1,L",STARSHIP JUPITER,NPPS,HJIT2,2024-06-30T12:00:00.000Z,,27997
N,DB SUNNY,W4,HIT,2024-06-30T20:00:00.000Z,,1599
"해,진",YORK 27,52,PAL,2024-06-30T19:00:00.000Z,,8638
"N,Q,동,진",YU SHUN,PAL,73,2024-06-30T11:00:00.000Z,,4378
"N,S",SJ HOPE,SOD1,PAL,2024-06-30T16:00:00.000Z,,5025
"미,W",MEGA PIONEER,KIST,JAK,2024-06-30T09:00:00.000Z,,3543
"L,I",XIN MING ZHOU 20,NPPS,SNCT2,2024-06-30T13:00:00.000Z,,9653
"B,F1",HARMONY CHEMIST,KAL,E1,2024-06-30T07:00:00.000Z,,30087
"K,L",XIN HE DA,HJIT3,NPPS,2024-06-30T06:00:00.000Z,,7808
"해,진",MERIDA,34,PAL,2024-06-30T01:00:00.000Z,,5275
I,POS SINGAPORE,HJIT2,NPPS,2024-06-30T12:00:00.000Z,,17846
W,KUN YUAN,PAL,N11,2024-06-30T23:30:00.000Z,,2581
"E,미",WOO CHOON,GSD,PAL,2024-06-30T11:30:00.000Z,,3969
"B,E",TORM AUSTRALIA,SKI 3,DONG,2024-06-30T20:00:00.000Z,,29726
"G,M",WAN DA 9,PAL,N44,2024-06-30T19:00:00.000Z,,15953
"V,H",OBE QUEEN,PAL,N14,2024-06-30T10:30:00.000Z,,30221
I,HANSA FRESENBURG,HJIT1,NPPS,2024-06-30T15:00:00.000Z,,18296
"Z,B",KOREA VENUS,GS-HD,PAL,2024-06-30T08:30:00.000Z,,39543
"Q,S",DOOLA #7,PAL,N-HOB,2024-06-30T06:30:00.000Z,,6402
S,DOOLA STAR,N-HOB,PAL,2024-06-30T04:00:00.000Z,,5770
"Q,S",FC GRACE,E5,N-HOB,2024-06-30T22:00:00.000Z,,4960
E,SAMPYO 5,SAMPYO,PAL,2024-06-30T23:00:00.000Z,,7271
"M,W",OCEAN GAS,PAL,SKI 1,2024-06-30T18:30:00.000Z,,3678
