배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
"E,미",BEI JIANG,PAL,KICT,2024-06-11T07:00:00.000Z,SC,5250
"J,A,F2,H,B,A,F2,H",C.FREEDOM,JANG,SKI 3,2024-06-11T05:00:00.000Z,BJ,162044
"V,B",HUA LIN WAN,SKI 3,DONG,2024-06-11T06:30:00.000Z,GH,60166
Q,K GAS,SOD1,PAL,2024-06-11T06:30:00.000Z,,1002
"O,S",MEGA PIONEER,JAK,KIST,2024-06-11T06:00:00.000Z,KN,3543
T,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-11T10:30:00.000Z,,32729
"Y,송,X,L",HYUNDAI OCEANPIA,JANG,LNG1,2024-06-11T08:00:00.000Z,JU,113998
"윤,진",VW SAFETY,50,PAL,2024-06-11T07:00:00.000Z,LO,7141
"C,L",BF TIGER,NPPS,HJIT3,2024-06-11T06:00:00.000Z,CG,28592
"I,성",KOREA VISION,E1GT,BUKJ2,2024-06-11T07:00:00.000Z,NS,3872
I,STARSHIP LEO,NPPS,SNCT2,2024-06-11T01:00:00.000Z,,20920
"J,M",ASTORIA BAY,N13,PAL,2024-06-11T06:30:00.000Z,GJ,26402
N,DB SUNNY,W4,HIT,2024-06-11T06:00:00.000Z,,1599
R,BIRYONG,PAL,NIPT2,2024-06-11T09:30:00.000Z,SK,14614
W,KAI AN 8,PAL,N52,2024-06-11T08:00:00.000Z,GJ,1448
R,VICTORY STAR,E1CT,PAL,2024-06-11T07:00:00.000Z,KB,7406
Z,FOLEGANDROS,HJIT3,NPPS,2024-06-11T05:00:00.000Z,CG,66332
L,SUNNY CAMELLIA,SNCT3,NPPS,2024-06-11T07:00:00.000Z,CG,9563
"E,미",XIN YU JIN XIANG,NIPT6,PAL,2024-06-11T00:30:00.000Z,KB,12304
"T,G",ARAFURA LILY,PAL,NIPT6,2024-06-11T06:30:00.000Z,SK,12335
"Q,W",FC GRACE,E5,SOD1,2024-06-11T06:00:00.000Z,,4960
"S,미",KEOJE CORDELIA,N-HOB,PAL,2024-06-11T09:00:00.000Z,,8689
"T,R",MORNING NURI,PAL,RHC,2024-06-11T07:00:00.000Z,,5222
"비,명,동",MANHASSET QUEEN,73,PAL,2024-06-11T18:00:00.000Z,,36139
E,HARMONY YUN GANG,PAL,NIPT1,2024-06-11T15:00:00.000Z,,35187
성,ESTIMA,HJIT1,NPPS,2024-06-11T14:00:00.000Z,,9587
"L,I",WAN HAI 317,NPPS,SNCT1,2024-06-11T12:00:00.000Z,,27800
"H,M",BRAVE OCEAN,W10,SKI 2,2024-06-11T20:00:00.000Z,,26328
"Q,S",NO.8 SJ GAS,PAL,SKI 1,2024-06-11T17:00:00.000Z,,2981
"성,K",SKY IRIS,NPPS,HJIT1,2024-06-11T15:00:00.000Z,,9980
"성,K",BEI HAI,NPPS,HJIT2,2024-06-11T12:00:00.000Z,,5272
L,PEGASUS PROTO,SNCT1,NPPS,2024-06-11T12:00:00.000Z,,18354
"D,V,G,비,명",ANDRIA,PAL,73,2024-06-11T19:00:00.000Z,,39643
진,XIN SHENG SHENG 6,42,PAL,2024-06-11T16:00:00.000Z,,2995
"해,진",SILVER SAFETY,50,PAL,2024-06-11T14:00:00.000Z,,7243
F1,KMTC SEOUL,HJIT2,NPPS,2024-06-11T12:00:00.000Z,,27997
"O,S",FC DELLA,PAL,N-HOB,2024-06-11T12:00:00.000Z,,4956
T,수성 2,SAMPYO,PAL,2024-06-11T19:00:00.000Z,,5963
Q,유진,JANG,YHD(IN)2,2024-06-11T23:00:00.000Z,,4727
"N,O",DOOLA #7,PAL,N-HOB,2024-06-11T23:00:00.000Z,,6402
R,DRAGON STAR,SSC,PAL,2024-06-11T22:00:00.000Z,,5683
"해,진",SUN OCEAN,30,LE,2024-06-11T23:30:00.000Z,,5093
W,K GAS,SOD1,PAL,2024-06-12T07:30:00.000Z,,1002
"B,V",KOREA VENUS,PAL,GS-HD,2024-06-12T07:00:00.000Z,NS,39543
M,수성 1호,PAL,SAMPYO,2024-06-12T07:00:00.000Z,,5969
"I,성",REVERENCE,NPPS,SNCT2,2024-06-12T05:00:00.000Z,HY,9990
"I,L",SITC HAINAN,NPPS,HJIT2,2024-06-12T03:00:00.000Z,CN,17119
"N,E",HONG YANG 28,PAL,E1CT,2024-06-12T02:00:00.000Z,SK,11856
"K,성",SUNNY ROSE,NPPS,HJIT2,2024-06-12T17:00:00.000Z,,9865
미,KAI AN 8,N52,PAL,2024-06-12T16:00:00.000Z,,1448
"성,I",A ROKKO,NPPS,HJIT3,2024-06-12T11:30:00.000Z,,9562
"A,T",JA YANG,PAL,HIDC,2024-06-12T19:30:00.000Z,,4739
N,PEGASUS GLORY,PAL,E1CT,2024-06-12T18:00:00.000Z,,9908
E,TY INCHEON,PAL,E1CT,2024-06-12T09:00:00.000Z,,7726
"Y,송,X,C",HYUNDAI OCEANPIA,LNG1,DONG,2024-06-12T09:00:00.000Z,,113998
"N,R",WOO LIM 5,PAL,SOD1,2024-06-12T07:30:00.000Z,,8072
K,SKY IRIS,HJIT1,NPPS,2024-06-12T07:00:00.000Z,JU,9980
"D,T,G,비,명",SEAWAYS TITAN,LEN,65,2024-06-12T06:30:00.000Z,LO,29305
"S,미",TIAN ZHUI,PAL,N42,2024-06-12T04:00:00.000Z,CG,8574
"I,K",BEI HAI,HJIT2,NPPS,2024-06-12T03:00:00.000Z,CG,5272
Q,유진,JANG,YHD(IN)2,2024-06-12T01:00:00.000Z,,4727
"F3,B",MSC BREMERHAVEN V,PAL,ICT2,2024-06-12T17:00:00.000Z,,49447
"S,N,해,진",GLORY STAR,PAL,52,2024-06-12T16:00:00.000Z,,4562
"Q,S",BEI JIANG,KICT,PAL,2024-06-12T20:00:00.000Z,,5250
"W,진",YUE XIANG,PAL,41,2024-06-12T10:00:00.000Z,,1971
"W,O",FC GRACE,PAL,N-HOB,2024-06-12T19:00:00.000Z,,4960
"K,성",YA LU JIANG,NPPS,SNCT1,2024-06-12T18:00:00.000Z,,5250
"N,O",KTS WHITE,PAL,GSD,2024-06-12T09:00:00.000Z,,2101
